<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COMP.V,D,20200619,000000,291.06,291.23,205.48,211.38,0,0
COMP.V,D,20200620,000000,211.39,253.02,195.22,252.9,0,0
COMP.V,D,20200621,000000,252.87,386.11,246.85,360.19,0,0
COMP.V,D,20200622,000000,360.19,360.19,233.69,287.37,0,0
COMP.V,D,20200623,000000,287.31,343.59,242.02,258.75,0,0
COMP.V,D,20200624,000000,258.84,264,190.22,207.92,0,0
COMP.V,D,20200625,000000,207.92,253,197.55,234.32,0,0
COMP.V,D,20200626,000000,234.32,272.85,226.3,260.88,0,0
COMP.V,D,20200627,000000,260.88,267.92,225.7,235.62,0,0
COMP.V,D,20200628,000000,235.62,254.97,228,246.8,0,0
COMP.V,D,20200629,000000,246.8,247.84,230.68,235.27,0,0
COMP.V,D,20200630,000000,235.27,242.55,212.38,220,0,0
COMP.V,D,20200701,000000,220,220.13,210.05,211.67,0,0
COMP.V,D,20200702,000000,211.46,211.7,176.3,177.41,0,0
COMP.V,D,20200703,000000,177.41,195.2,171.08,177.95,0,0
COMP.V,D,20200704,000000,177.8,193.81,163.21,182.72,0,0
COMP.V,D,20200705,000000,182.93,220,177.6,203.88,0,0
COMP.V,D,20200706,000000,205.92,207.39,186.36,192.37,0,0
COMP.V,D,20200707,000000,192.37,197.16,183.22,185,0,0
COMP.V,D,20200708,000000,185.24,190,180.23,185.82,0,0
COMP.V,D,20200709,000000,185.82,188.73,176.2,178.75,0,0
COMP.V,D,20200710,000000,179.33,181,173.42,174.17,0,0
COMP.V,D,20200711,000000,174.17,184.78,172.37,177.57,0,0
COMP.V,D,20200712,000000,177.33,183.55,174.11,175.21,0,0
COMP.V,D,20200713,000000,175.21,177.96,157.44,164.74,0,0
COMP.V,D,20200714,000000,165.2,168,159.88,164.09,0,0
COMP.V,D,20200715,000000,164.09,167.42,160.36,160.52,0,0
COMP.V,D,20200716,000000,160.52,163.68,152.68,154.15,0,0
COMP.V,D,20200717,000000,153.94,176.57,153.79,165.45,0,0
COMP.V,D,20200718,000000,165.59,171.09,161.03,162.11,0,0
COMP.V,D,20200719,000000,162.85,164.73,159.63,163.61,0,0
COMP.V,D,20200720,000000,163.11,174.93,155.61,159.77,0,0
COMP.V,D,20200721,000000,159.77,162.52,157.02,158.8,0,0
COMP.V,D,20200722,000000,158.69,160.03,153.75,158.42,0,0
COMP.V,D,20200723,000000,158.42,163.41,155.54,157.03,0,0
COMP.V,D,20200724,000000,157,158.52,155.59,156.37,0,0
COMP.V,D,20200725,000000,155.97,157.5,154.58,155.93,0,0
COMP.V,D,20200726,000000,155.93,163.87,154.1,156.24,0,0
COMP.V,D,20200727,000000,156.32,158.55,123.39,137.4,0,0
COMP.V,D,20200728,000000,137.58,144.39,130.02,137.91,0,0
COMP.V,D,20200729,000000,138.13,140.46,132.02,132.03,0,0
COMP.V,D,20200730,000000,132.03,134.84,131.47,132.49,0,0
COMP.V,D,20200731,000000,132.49,139.93,129.03,135.94,0,0
COMP.V,D,20200801,000000,136.05,143.82,134.36,138.12,0,0
COMP.V,D,20200802,000000,138.12,139.58,120.38,127.35,0,0
COMP.V,D,20200803,000000,127.35,132.7,126.16,127.71,0,0
COMP.V,D,20200804,000000,127.37,133.48,125.08,130.65,0,0
COMP.V,D,20200805,000000,130.65,141.42,128.83,137.15,0,0
COMP.V,D,20200806,000000,137.15,142.62,133.01,136.61,0,0
COMP.V,D,20200807,000000,136.45,153.46,136.21,152.14,0,0
COMP.V,D,20200808,000000,152.29,160.01,147.48,150.36,0,0
COMP.V,D,20200809,000000,150.35,175.06,149,173.03,0,0
COMP.V,D,20200810,000000,173.38,188.16,168.73,175.75,0,0
COMP.V,D,20200811,000000,175.75,190.89,155,190.89,0,0
COMP.V,D,20200812,000000,189.58,263.95,186.56,224.16,0,0
COMP.V,D,20200813,000000,224.35,234.59,186.24,202.26,0,0
