<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOT.V,D,20180418,000000,0.02928,0.0326,0.0275,0.03056,0,0
HOT.V,D,20180419,000000,0.03056,0.035,0.03056,0.03379,0,0
HOT.V,D,20180420,000000,0.03379,0.03946,0.03228,0.03888,0,0
HOT.V,D,20180421,000000,0.03888,0.0436,0.03512,0.03934,0,0
HOT.V,D,20180422,000000,0.03934,0.05522,0.03934,0.04613,0,0
HOT.V,D,20180423,000000,0.04613,0.05797,0.04613,0.05495,0,0
HOT.V,D,20180424,000000,0.05495,0.06059,0.0526,0.05514,0,0
HOT.V,D,20180425,000000,0.05515,0.05515,0.03781,0.04571,0,0
HOT.V,D,20180426,000000,0.0457,0.05622,0.045,0.05181,0,0
HOT.V,D,20180427,000000,0.05181,0.05286,0.04568,0.05222,0,0
HOT.V,D,20180428,000000,0.0522,0.06045,0.04918,0.05362,0,0
HOT.V,D,20180429,000000,0.05362,0.06879,0.05148,0.06613,0,0
HOT.V,D,20180430,000000,0.06613,0.08711,0.06235,0.07947,0,0
HOT.V,D,20180501,000000,0.07947,0.09391,0.07345,0.07976,0,0
HOT.V,D,20180502,000000,0.07976,0.08715,0.07843,0.08158,0,0
HOT.V,D,20180503,000000,0.08158,0.1002,0.07854,0.09246,0,0
HOT.V,D,20180504,000000,0.09248,0.1294,0.07842,0.0894,0,0
HOT.V,D,20180505,000000,0.0894,0.1143,0.0894,0.1021,0,0
HOT.V,D,20180506,000000,0.1021,0.1034,0.08007,0.09793,0,0
HOT.V,D,20180507,000000,0.09793,0.09793,0.07149,0.08036,0,0
HOT.V,D,20180508,000000,0.08036,0.08226,0.07261,0.07312,0,0
HOT.V,D,20180509,000000,0.07312,0.08189,0.06652,0.07836,0,0
HOT.V,D,20180510,000000,0.07836,0.07836,0.06513,0.0678,0,0
HOT.V,D,20180511,000000,0.0678,0.0678,0.04147,0.05136,0,0
HOT.V,D,20180512,000000,0.05136,0.06741,0.05056,0.053,0,0
HOT.V,D,20180513,000000,0.053,0.06929,0.053,0.05992,0,0
HOT.V,D,20180514,000000,0.05992,0.08729,0.05368,0.08052,0,0
HOT.V,D,20180515,000000,0.08052,0.08298,0.05687,0.07367,0,0
HOT.V,D,20180516,000000,0.07367,0.07456,0.06036,0.0672,0,0
HOT.V,D,20180517,000000,0.0672,0.06991,0.06063,0.06558,0,0
HOT.V,D,20180518,000000,0.06558,0.07074,0.06497,0.06797,0,0
HOT.V,D,20180519,000000,0.06797,0.07657,0.06612,0.06612,0,0
HOT.V,D,20180520,000000,0.06612,0.06974,0.0616,0.06487,0,0
HOT.V,D,20180521,000000,0.06487,0.06487,0.06171,0.06307,0,0
HOT.V,D,20180522,000000,0.06307,0.06307,0.05575,0.05862,0,0
HOT.V,D,20180523,000000,0.05864,0.05864,0.04737,0.05277,0,0
HOT.V,D,20180524,000000,0.05277,0.06598,0.05089,0.06207,0,0
HOT.V,D,20180525,000000,0.06207,0.07602,0.05848,0.07175,0,0
HOT.V,D,20180526,000000,0.07175,0.07187,0.06443,0.06754,0,0
