<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWNT.US,D,20210428,000000,9.83,9.83,9.82,9.83,4222,0
TWNT.US,D,20210429,000000,9.9,9.99,9.89,9.89,2384,0
TWNT.US,D,20210507,000000,9.8553,9.8553,9.85,9.85,2202,0
TWNT.US,D,20210510,000000,9.85,9.85,9.83,9.84,6089,0
TWNT.US,D,20210511,000000,9.65,9.65,9.65,9.65,201,0
TWNT.US,D,20210518,000000,9.7,9.7,9.7,9.7,104,0
TWNT.US,D,20210519,000000,9.65,9.65,9.65,9.65,49956,0
TWNT.US,D,20210526,000000,9.9,9.9,9.75,9.75,11522,0
TWNT.US,D,20210527,000000,9.7404,9.7404,9.7404,9.7404,915,0
TWNT.US,D,20210528,000000,9.74,9.74,9.74,9.74,100,0
TWNT.US,D,20210601,000000,9.74,9.74,9.69,9.69,495,0
TWNT.US,D,20210602,000000,9.78,9.78,9.78,9.78,1019,0
TWNT.US,D,20210608,000000,9.77,9.77,9.75,9.75,621,0
TWNT.US,D,20210609,000000,9.75,9.75,9.75,9.75,101,0
TWNT.US,D,20210610,000000,9.75,9.75,9.75,9.75,921,0
TWNT.US,D,20210611,000000,9.77,9.77,9.72,9.77,1600,0
TWNT.US,D,20210615,000000,9.75,9.75,9.73,9.73,113275,0
TWNT.US,D,20210617,000000,9.78,9.78,9.72,9.73,3866,0
TWNT.US,D,20210618,000000,9.75,9.75,9.75,9.75,25016,0
TWNT.US,D,20210621,000000,9.79,9.79,9.65,9.67,81778,0
TWNT.US,D,20210622,000000,9.695,9.7,9.66,9.665,265801,0
TWNT.US,D,20210623,000000,9.7,9.7,9.67,9.69,5742,0
TWNT.US,D,20210624,000000,9.63,9.68,9.63,9.68,9626,0
TWNT.US,D,20210625,000000,9.7,9.7,9.7,9.7,24337,0
TWNT.US,D,20210628,000000,9.66,9.7,9.66,9.7,14646,0
TWNT.US,D,20210629,000000,9.7,9.7,9.69,9.7,3180,0
TWNT.US,D,20210630,000000,9.66,9.66,9.66,9.66,13127,0
TWNT.US,D,20210701,000000,9.7,9.72,9.7,9.72,8219,0
TWNT.US,D,20210706,000000,9.64,9.64,9.64,9.64,200,0
TWNT.US,D,20210707,000000,9.62,9.69,9.62,9.69,1425,0
TWNT.US,D,20210708,000000,9.69,9.75,9.65,9.75,462657,0
TWNT.US,D,20210709,000000,9.7,9.74,9.64,9.65,7859,0
